speed,fuel_level_input,temperature,lat,lon
5,70,40,51.51972,-0.18475
10,70,40,51.51992,-0.18305
15,65,40,51.52026,-0.18206
20,65,40,51.52092,-0.18031
25,60,40,51.52021,-0.17772
30,60,40,51.52007,-0.171
35,60,40,51.52046,-0.16773
40,60,35,51.52079,-0.1657
45,60,35,51.5211,-0.16379
50,55,35,51.52167,-0.16053
55,55,35,51.52223,-0.15726
60,55,35,51.52288,-0.15362
65,55,35,51.52315,-0.15177
70,50,32,51.52321,-0.15068
75,50,32,51.52354,-0.14789
80,45,32,51.52411,-0.14471
75,45,32,51.524,-0.14314
70,45,32,51.5245,-0.14055
65,40,33,51.52572,-0.1357
60,40,34,51.52649,-0.13334
55,40,34,51.52711,-0.13054
50,90,34,51.52391,-0.12701
45,85,34,51.52435,-0.12479
40,85,35,51.52405,-0.12456
35,85,35,51.52358,-0.12429
30,85,35,51.5237,-0.12226
25,80,35,51.52318,-0.12194
20,80,35,51.52299,-0.12186
15,80,35,51.52289,-0.12232
10,80,36,51.52278,-0.12284
